Date,Close
10/12/2012 16:00:00,16.36
10/15/2012 16:00:00,16.64
10/16/2012 16:00:00,16.99
10/17/2012 16:00:00,16.7
10/18/2012 16:00:00,16.66
10/19/2012 16:00:00,16.04
10/22/2012 16:00:00,16.32
10/23/2012 16:00:00,16.14
10/24/2012 16:00:00,15.46
10/25/2012 16:00:00,16.42
10/26/2012 16:00:00,16.08
10/31/2012 16:00:00,16.15
11/1/2012 16:00:00,16.15
11/2/2012 16:00:00,15.74
11/5/2012 16:00:00,15.63
11/6/2012 16:00:00,15.61
11/7/2012 16:00:00,15.58
11/8/2012 16:00:00,15.61
11/9/2012 16:00:00,15.37
11/12/2012 16:00:00,14.95
11/13/2012 16:00:00,15.5
11/14/2012 16:00:00,15.84
11/15/2012 16:00:00,16.06
11/16/2012 16:00:00,16.34
11/19/2012 16:00:00,16.51
11/20/2012 16:00:00,15.66
11/21/2012 16:00:00,15.58
11/23/2012 16:00:00,15.8
11/26/2012 16:00:00,15.67
11/27/2012 16:00:00,15.25
11/28/2012 16:00:00,15.24
11/29/2012 16:00:00,15.45
11/30/2012 16:00:00,15.1
12/3/2012 16:00:00,14.65
12/4/2012 16:00:00,14.9
12/5/2012 16:00:00,14.76
12/6/2012 16:00:00,14.72
12/7/2012 16:00:00,14.65
12/10/2012 16:00:00,13.99
12/11/2012 16:00:00,13.35
12/12/2012 16:00:00,13.64
12/13/2012 16:00:00,13.51
12/14/2012 16:00:00,13.03
12/17/2012 16:00:00,13.18
12/18/2012 16:00:00,13.32
12/19/2012 16:00:00,13.2
12/20/2012 16:00:00,13.06
12/21/2012 16:00:00,12.73
12/24/2012 16:00:00,12.8
12/26/2012 16:00:00,12.61
12/27/2012 16:00:00,12.7
12/28/2012 16:00:00,13.2
12/31/2012 16:00:00,13.31
1/2/2013 16:00:00,13.54
1/3/2013 16:00:00,13.51
1/4/2013 16:00:00,13.11
1/7/2013 16:00:00,12.76
1/8/2013 16:00:00,12.39
1/9/2013 16:00:00,12.13
1/10/2013 16:00:00,12.11
1/11/2013 16:00:00,12.7
1/14/2013 16:00:00,12.81
1/15/2013 16:00:00,12.84
1/16/2013 16:00:00,12.92
1/17/2013 16:00:00,13.48
1/18/2013 16:00:00,13.14
1/22/2013 16:00:00,12.72
1/23/2013 16:00:00,12.97
1/24/2013 16:00:00,12.82
1/25/2013 16:00:00,12.88
1/28/2013 16:00:00,13.39
1/29/2013 16:00:00,13.2
1/30/2013 16:00:00,12.22
1/31/2013 16:00:00,12.16
2/1/2013 16:00:00,12.04
2/4/2013 16:00:00,11.82
2/5/2013 16:00:00,11.78
2/6/2013 16:00:00,11.73
2/7/2013 16:00:00,11.87
2/8/2013 16:00:00,11.69
2/11/2013 16:00:00,11.7
2/12/2013 16:00:00,11.58
2/13/2013 16:00:00,11.65
2/14/2013 16:00:00,11.53
2/15/2013 16:00:00,11.39
2/19/2013 16:00:00,11.6
2/20/2013 16:00:00,11.56
2/21/2013 16:00:00,11.77
2/22/2013 16:00:00,12.03
2/25/2013 16:00:00,12
2/26/2013 16:00:00,12.25
2/27/2013 16:00:00,12.2
2/28/2013 16:00:00,12.06
3/1/2013 16:00:00,12.13
3/4/2013 16:00:00,12.33
3/5/2013 16:00:00,12.42
3/6/2013 16:00:00,12.23
3/7/2013 16:00:00,12.71
3/8/2013 16:00:00,13.63
3/11/2013 16:00:00,13.99
3/12/2013 16:00:00,13.61
3/13/2013 16:00:00,14.07
3/14/2013 16:00:00,13.69
3/15/2013 16:00:00,13.8
3/18/2013 16:00:00,13.91
3/19/2013 16:00:00,13.77
3/20/2013 16:00:00,13.85
3/21/2013 16:00:00,13.7
3/22/2013 16:00:00,13.73
3/25/2013 16:00:00,13.54
3/26/2013 16:00:00,13.5
3/27/2013 16:00:00,13.66
3/28/2013 16:00:00,13.44
4/1/2013 16:00:00,13.14
4/2/2013 16:00:00,13.18
4/3/2013 16:00:00,13.14
4/4/2013 16:00:00,13.45
4/5/2013 16:00:00,13.37
4/8/2013 16:00:00,13.65
4/9/2013 16:00:00,13.59
4/10/2013 16:00:00,14.97
4/11/2013 16:00:00,14.67
4/12/2013 16:00:00,14.31
4/15/2013 16:00:00,14.47
4/16/2013 16:00:00,14.62
4/17/2013 16:00:00,14.3
4/18/2013 16:00:00,14.46
4/19/2013 16:00:00,14.61
4/22/2013 16:00:00,14.66
4/23/2013 16:00:00,14.5
4/24/2013 16:00:00,14.66
4/25/2013 16:00:00,14.24
4/26/2013 16:00:00,13.33
4/29/2013 16:00:00,13.43
4/30/2013 16:00:00,13.75
5/1/2013 16:00:00,13.35
5/2/2013 16:00:00,13.64
5/3/2013 16:00:00,13.73
5/6/2013 16:00:00,13.71
5/7/2013 16:00:00,13.68
5/8/2013 16:00:00,13.82
5/9/2013 16:00:00,13.76
5/10/2013 16:00:00,13.42
5/13/2013 16:00:00,13.43
5/14/2013 16:00:00,13.5
5/15/2013 16:00:00,14.34
5/16/2013 16:00:00,13.87
5/17/2013 16:00:00,13.77
5/20/2013 16:00:00,13.64
5/21/2013 16:00:00,13.99
5/22/2013 16:00:00,13.49
5/23/2013 16:00:00,13.25
5/24/2013 16:00:00,13.04
5/28/2013 16:00:00,12.62
5/29/2013 16:00:00,12.47
5/30/2013 16:00:00,12.57
5/31/2013 16:00:00,12.47
6/3/2013 16:00:00,12.39
6/4/2013 16:00:00,12.52
6/5/2013 16:00:00,12.05
6/6/2013 16:00:00,11.84
6/7/2013 16:00:00,12.26
6/10/2013 16:00:00,12.58
6/11/2013 16:00:00,12.27
6/12/2013 16:00:00,12.11
6/13/2013 16:00:00,12.65
6/14/2013 16:00:00,12.47
6/17/2013 16:00:00,13.56
6/18/2013 16:00:00,13.8
6/19/2013 16:00:00,14.2
6/20/2013 16:00:00,13.68
6/21/2013 16:00:00,13.95
6/24/2013 16:00:00,13.89
6/25/2013 16:00:00,13.65
6/26/2013 16:00:00,14.19
6/27/2013 16:00:00,13.97
6/28/2013 16:00:00,14.67
7/1/2013 16:00:00,14.74
7/2/2013 16:00:00,14.33
7/3/2013 16:00:00,14.5
7/5/2013 16:00:00,14.84
7/8/2013 16:00:00,14.75
7/9/2013 16:00:00,14.98
7/10/2013 16:00:00,15.11
7/11/2013 16:00:00,15.29
7/12/2013 16:00:00,15.18
7/15/2013 16:00:00,15.2
7/16/2013 16:00:00,15.8
7/17/2013 16:00:00,16.86
7/18/2013 16:00:00,16.35
7/19/2013 16:00:00,16.75
7/22/2013 16:00:00,17.44
7/23/2013 16:00:00,17.38
7/24/2013 16:00:00,17.35
7/25/2013 16:00:00,16.7
7/26/2013 16:00:00,16.5
7/29/2013 16:00:00,16.24
7/30/2013 16:00:00,16.43
7/31/2013 16:00:00,15.8
8/1/2013 16:00:00,16.53
8/2/2013 16:00:00,16.54
8/5/2013 16:00:00,16.43
8/6/2013 16:00:00,16.97
8/7/2013 16:00:00,16.74
8/8/2013 16:00:00,16.4
8/9/2013 16:00:00,16.27
8/12/2013 16:00:00,15.91
8/13/2013 16:00:00,15.95
8/14/2013 16:00:00,15.83
8/15/2013 16:00:00,15.76
8/16/2013 16:00:00,15.53
8/19/2013 16:00:00,15.67
8/20/2013 16:00:00,15.43
8/21/2013 16:00:00,15.47
8/22/2013 16:00:00,15.44
8/23/2013 16:00:00,15.35
8/26/2013 16:00:00,15.39
8/27/2013 16:00:00,15.6
8/28/2013 16:00:00,15.41
8/29/2013 16:00:00,15.13
8/30/2013 16:00:00,14.09
9/3/2013 16:00:00,14.7
9/4/2013 16:00:00,15.3
9/5/2013 16:00:00,15.12
9/6/2013 16:00:00,14.51
9/9/2013 16:00:00,13.8
9/10/2013 16:00:00,13.5
9/11/2013 16:00:00,13.72
9/12/2013 16:00:00,13.57
9/13/2013 16:00:00,13.55
9/16/2013 16:00:00,13.72
9/17/2013 16:00:00,13.75
9/18/2013 16:00:00,14.02
9/19/2013 16:00:00,14.04
9/20/2013 16:00:00,14.42
9/23/2013 16:00:00,14.48
9/24/2013 16:00:00,14.56
9/25/2013 16:00:00,14.6
9/26/2013 16:00:00,14.4
9/27/2013 16:00:00,14.43
9/30/2013 16:00:00,14.12
10/1/2013 16:00:00,14.21
10/2/2013 16:00:00,13.81
10/3/2013 16:00:00,13.83
10/4/2013 16:00:00,14.06
10/7/2013 16:00:00,13.86
10/8/2013 16:00:00,13.84
10/9/2013 16:00:00,14.03
10/10/2013 16:00:00,14.47
10/11/2013 16:00:00,14.5
10/14/2013 16:00:00,14.59
10/15/2013 16:00:00,14.22
10/16/2013 16:00:00,14.47
10/17/2013 16:00:00,14.7
10/18/2013 16:00:00,14.58
10/21/2013 16:00:00,14.77
10/22/2013 16:00:00,14.67
10/23/2013 16:00:00,14.56
10/24/2013 16:00:00,14.74
10/25/2013 16:00:00,14.52
10/28/2013 16:00:00,14.58
10/29/2013 16:00:00,14.62
10/30/2013 16:00:00,14.05
10/31/2013 16:00:00,14.01
11/1/2013 16:00:00,14.03
11/4/2013 16:00:00,14.05
11/5/2013 16:00:00,14.7
11/6/2013 16:00:00,15.18
11/7/2013 16:00:00,14.88
11/8/2013 16:00:00,15.46
11/11/2013 16:00:00,15.24
11/12/2013 16:00:00,15.35
11/13/2013 16:00:00,15.8
11/14/2013 16:00:00,15.68
11/15/2013 16:00:00,16.35
11/18/2013 16:00:00,16.2
11/19/2013 16:00:00,16.3
11/20/2013 16:00:00,16.29
11/21/2013 16:00:00,16.11
11/22/2013 16:00:00,16.8
11/25/2013 16:00:00,16.85
11/26/2013 16:00:00,16.46
11/27/2013 16:00:00,16.14
11/29/2013 16:00:00,16.08
12/2/2013 16:00:00,16.02
12/3/2013 16:00:00,15.39
12/4/2013 16:00:00,15.3
12/5/2013 16:00:00,15.29
12/6/2013 16:00:00,15.47
12/9/2013 16:00:00,15.41
12/10/2013 16:00:00,15.6
12/11/2013 16:00:00,15.28
12/12/2013 16:00:00,15.36
12/13/2013 16:00:00,15.15
12/16/2013 16:00:00,15.27
12/17/2013 16:00:00,15.27
12/18/2013 16:00:00,15.87
12/19/2013 16:00:00,16.28
12/20/2013 16:00:00,16.45
12/23/2013 16:00:00,16.6
12/24/2013 16:00:00,16.6
12/26/2013 16:00:00,16.59
12/27/2013 16:00:00,16.73
12/30/2013 16:00:00,16.74
12/31/2013 16:00:00,16.68
1/2/2014 16:00:00,16.55
1/3/2014 16:00:00,16.62
1/6/2014 16:00:00,17.01
1/7/2014 16:00:00,17.15
1/8/2014 16:00:00,18.66
1/9/2014 16:00:00,18.25
1/10/2014 16:00:00,18.95
1/13/2014 16:00:00,18.91
1/14/2014 16:00:00,18.66
1/15/2014 16:00:00,18.22
1/16/2014 16:00:00,17.96
1/17/2014 16:00:00,14.9
1/21/2014 16:00:00,16.04
1/22/2014 16:00:00,16.7
1/23/2014 16:00:00,16.36
1/24/2014 16:00:00,16.15
1/27/2014 16:00:00,16.1
1/28/2014 16:00:00,15.47
1/29/2014 16:00:00,16.23
1/30/2014 16:00:00,15.06
1/31/2014 16:00:00,14.63
2/3/2014 16:00:00,14.64
2/4/2014 16:00:00,14.89
2/5/2014 16:00:00,14.14
2/6/2014 16:00:00,14.07
2/7/2014 16:00:00,14.15
2/10/2014 16:00:00,14.94
2/11/2014 16:00:00,14.97
2/12/2014 16:00:00,14.9
2/13/2014 16:00:00,14.5
2/14/2014 16:00:00,14.52
2/18/2014 16:00:00,15.07
2/19/2014 16:00:00,15.34
2/20/2014 16:00:00,15.03
2/21/2014 16:00:00,15.25
2/24/2014 16:00:00,15.37
2/25/2014 16:00:00,15.39
2/26/2014 16:00:00,15.76
2/27/2014 16:00:00,15.3
2/28/2014 16:00:00,15.4
3/3/2014 16:00:00,15.2
3/4/2014 16:00:00,15.56
3/5/2014 16:00:00,15.28
3/6/2014 16:00:00,15.3
3/7/2014 16:00:00,15.23
3/10/2014 16:00:00,14.87
3/11/2014 16:00:00,14.87
3/12/2014 16:00:00,14.82
3/13/2014 16:00:00,14.85
3/14/2014 16:00:00,14.64
3/17/2014 16:00:00,14.7
3/18/2014 16:00:00,14.47
3/19/2014 16:00:00,14.38
3/20/2014 16:00:00,14.23
3/21/2014 16:00:00,14.12
3/24/2014 16:00:00,14.84
3/25/2014 16:00:00,14.33
3/26/2014 16:00:00,14.49
3/27/2014 16:00:00,14.37
3/28/2014 16:00:00,14.64
3/31/2014 16:00:00,14.89
4/1/2014 16:00:00,14.72
4/2/2014 16:00:00,14.61
4/3/2014 16:00:00,14.39
4/4/2014 16:00:00,14.25
4/7/2014 16:00:00,14.28
4/8/2014 16:00:00,14.04
4/9/2014 16:00:00,13.98
4/10/2014 16:00:00,13.82
4/11/2014 16:00:00,13.52
4/14/2014 16:00:00,13.5
4/15/2014 16:00:00,13.32
4/16/2014 16:00:00,13.41
4/17/2014 16:00:00,13.64
4/21/2014 16:00:00,13.63
4/22/2014 16:00:00,13.48
4/23/2014 16:00:00,13.48
4/24/2014 16:00:00,13.37
4/25/2014 16:00:00,13.02
4/28/2014 16:00:00,13.07
4/29/2014 16:00:00,13.08
4/30/2014 16:00:00,13.08
5/1/2014 16:00:00,13.3
5/2/2014 16:00:00,13.4
5/5/2014 16:00:00,13.45
5/6/2014 16:00:00,13.4
5/7/2014 16:00:00,13.18
5/8/2014 16:00:00,12.93
5/9/2014 16:00:00,13.14
5/12/2014 16:00:00,13.18
5/13/2014 16:00:00,13.44
5/14/2014 16:00:00,13.45
5/15/2014 16:00:00,13.5
5/16/2014 16:00:00,13.45
5/19/2014 16:00:00,13.6
5/20/2014 16:00:00,13.84
5/21/2014 16:00:00,13.9
5/22/2014 16:00:00,14.08
5/23/2014 16:00:00,14.22
5/26/2014 16:00:00,14.22
5/27/2014 16:00:00,14.35
5/28/2014 16:00:00,14.27
5/29/2014 16:00:00,14.54
5/30/2014 16:00:00,14.56
6/2/2014 16:00:00,14.52
6/3/2014 16:00:00,14.54
6/4/2014 16:00:00,14.59
6/5/2014 16:00:00,14.42
6/6/2014 16:00:00,14.36
6/9/2014 16:00:00,14.55
6/10/2014 16:00:00,14.45
6/11/2014 16:00:00,14.01
6/12/2014 16:00:00,13.94
6/13/2014 16:00:00,14.26
6/16/2014 16:00:00,14.67
6/17/2014 16:00:00,14.81
6/18/2014 16:00:00,15.2
6/19/2014 16:00:00,15.22
6/20/2014 16:00:00,15.35
6/23/2014 16:00:00,15.08
6/24/2014 16:00:00,15.12
6/25/2014 16:00:00,14.99
6/26/2014 16:00:00,14.89
6/27/2014 16:00:00,14.79
6/30/2014 16:00:00,14.95
7/1/2014 16:00:00,15.14
7/2/2014 16:00:00,15.34
7/3/2014 16:00:00,15.62
7/7/2014 16:00:00,15.72
7/8/2014 16:00:00,15.51
7/9/2014 16:00:00,15.59
7/10/2014 16:00:00,15.21
7/11/2014 16:00:00,15.07
7/14/2014 16:00:00,15.37
7/15/2014 16:00:00,15.4
7/16/2014 16:00:00,15.51
7/17/2014 16:00:00,15.37
7/18/2014 16:00:00,15.56
7/21/2014 16:00:00,15.45
7/22/2014 16:00:00,15.9
7/23/2014 16:00:00,15.77
7/24/2014 16:00:00,15.52
7/25/2014 16:00:00,15.59
7/28/2014 16:00:00,15.21
7/29/2014 16:00:00,15.11
7/30/2014 16:00:00,14.35
7/31/2014 16:00:00,13.83
8/1/2014 16:00:00,13.75
8/4/2014 16:00:00,13.68
8/5/2014 16:00:00,13.46
8/6/2014 16:00:00,13.46
8/7/2014 16:00:00,13.4
8/8/2014 16:00:00,13.35
8/11/2014 16:00:00,13.44
8/12/2014 16:00:00,13.31
8/13/2014 16:00:00,13.38
8/14/2014 16:00:00,13.47
8/15/2014 16:00:00,13.78
8/18/2014 16:00:00,14.35
8/19/2014 16:00:00,14.18
8/20/2014 16:00:00,14.01
8/21/2014 16:00:00,13.99
8/22/2014 16:00:00,13.93
8/25/2014 16:00:00,14.03
8/26/2014 16:00:00,13.89
8/27/2014 16:00:00,13.85
8/28/2014 16:00:00,13.71
8/29/2014 16:00:00,13.89
9/2/2014 16:00:00,14.3
9/3/2014 16:00:00,14.17
9/4/2014 16:00:00,14.15
9/5/2014 16:00:00,14.16
9/8/2014 16:00:00,13.9
9/9/2014 16:00:00,13.73
9/10/2014 16:00:00,14.01
9/11/2014 16:00:00,13.95
9/12/2014 16:00:00,13.78
9/15/2014 16:00:00,13.76
9/16/2014 16:00:00,14.16
9/17/2014 16:00:00,13.91
9/18/2014 16:00:00,14.07
9/19/2014 16:00:00,13.93
9/22/2014 16:00:00,14.09
9/23/2014 16:00:00,13.97
9/24/2014 16:00:00,13.79
9/25/2014 16:00:00,13.75
9/26/2014 16:00:00,13.8
9/29/2014 16:00:00,13.6
9/30/2014 16:00:00,13.59
10/1/2014 16:00:00,13.33
10/2/2014 16:00:00,13.13
10/3/2014 16:00:00,13.11
10/6/2014 16:00:00,13.29
10/7/2014 16:00:00,13.11
10/8/2014 16:00:00,13.24
10/9/2014 16:00:00,12.96
10/10/2014 16:00:00,12.8
10/13/2014 16:00:00,12.69
10/14/2014 16:00:00,12.83
10/15/2014 16:00:00,12.78
10/16/2014 16:00:00,12.59
10/17/2014 16:00:00,12.67
10/20/2014 16:00:00,12.78
10/21/2014 16:00:00,12.95
10/22/2014 16:00:00,13.01
10/23/2014 16:00:00,13.02
10/24/2014 16:00:00,12.72
10/27/2014 16:00:00,12.91
10/28/2014 16:00:00,12.9
10/29/2014 16:00:00,13.8
10/30/2014 16:00:00,12.94
10/31/2014 16:00:00,13.67
11/3/2014 16:00:00,13.79
11/4/2014 16:00:00,13.47
11/5/2014 16:00:00,13.48
11/6/2014 16:00:00,13.27
11/7/2014 16:00:00,13.13
11/10/2014 16:00:00,13.15
11/11/2014 16:00:00,13.4
11/12/2014 16:00:00,13.55
11/13/2014 16:00:00,13.51
11/14/2014 16:00:00,13.77
11/17/2014 16:00:00,13.58
11/18/2014 16:00:00,13.9
11/19/2014 16:00:00,13.63
11/20/2014 16:00:00,13.62
11/21/2014 16:00:00,13.8
11/24/2014 16:00:00,13.79
11/25/2014 16:00:00,13.98
11/26/2014 16:00:00,14.45
11/28/2014 16:00:00,14.5
12/1/2014 16:00:00,14.82
12/2/2014 16:00:00,14.54
12/3/2014 16:00:00,14.74
12/4/2014 16:00:00,14.55
12/5/2014 16:00:00,14.41
12/8/2014 16:00:00,14.17
12/9/2014 16:00:00,14.03
12/10/2014 16:00:00,14.14
12/11/2014 16:00:00,14.02
12/12/2014 16:00:00,13.75
12/15/2014 16:00:00,13.57
12/16/2014 16:00:00,13.3
12/17/2014 16:00:00,13.26
12/18/2014 16:00:00,13.47
12/19/2014 16:00:00,13.27
12/22/2014 16:00:00,13.2
12/23/2014 16:00:00,13.24
12/24/2014 16:00:00,13.31
12/26/2014 16:00:00,13.33
12/29/2014 16:00:00,13.09
12/30/2014 16:00:00,13.01
12/31/2014 16:00:00,12.95
1/2/2015 16:00:00,13.04
1/5/2015 16:00:00,12.69
1/6/2015 16:00:00,12.37
1/7/2015 16:00:00,12.51
1/8/2015 16:00:00,12.8
1/9/2015 16:00:00,12.71
1/12/2015 16:00:00,12.73
1/13/2015 16:00:00,12.89
1/14/2015 16:00:00,12.47
1/15/2015 16:00:00,12.78
1/16/2015 16:00:00,12.85
1/20/2015 16:00:00,12.8
1/21/2015 16:00:00,12.84
1/22/2015 16:00:00,12.81
1/23/2015 16:00:00,12.67
1/26/2015 16:00:00,12.81
1/27/2015 16:00:00,12.89
1/28/2015 16:00:00,12.42
